,PSD-10,Mois,DF*10-4,TC-min,TC-max,TC peak,4SA,PSD-90,PSD-50,Sinter temp,K,D-50,RK
1,0.44,0.05,36,-74.3,46.8,-7.3,2.8,2.15,1,1297,11.689,0.97,18.092
2,0.44,0.02,40,-73.6,41.8,-7.2,2.9,2.1,0.98,1307,11.142,0.995,17.145
3,0.46,0.02,41,-74.5,42.1,-6.3,2.8,2.05,0.98,1271,10.834,0.94,16.066
4,0.43,0.04,37,-73.8,44.5,-7.2,3,2.06,0.95,1292,10.345,0.91,16.188
5,0.45,0.06,28,-73.5,49.3,-9,3,1.97,0.94,1287,10.286,0.991,16.479
6,0.45,0.06,30,-74.5,47.5,-7.2,3.1,1.97,0.94,1282,10.806,0.905,16.642
7,0.43,0.06,29,-74.3,49.3,-7.4,3,1.97,0.92,1286,10.268,0.854,17.153
8,0.47,0.03,29,-74.4,49.3,-7.5,3.2,2.06,0.98,1274,10.904,0.876,15.201
9,0.43,0.05,27,-74,48.5,-8.2,3,2.11,0.96,1306,10.282,0.958,17.112
10,0.42,0.05,35,-74.2,40.6,-5.5,2.7,2.07,0.94,1268,10.62,0.888,17.577
11,0.42,0.01,30,-73.6,46.5,-6.9,3.1,2.12,0.96,1284,10.539,0.918,17.287
12,0.41,0.02,30,-74,43.5,-6.5,3.2,2.15,0.95,1283,10.797,0.843,17.292
13,0.44,0.04,31,-74.2,45.7,-6.8,2.9,2.01,0.95,1272,10.846,0.824,18.302
14,0.45,0.02,30,-73.9,41.9,-6.5,2.9,2.04,0.98,1281,10.533,0.862,16.662
15,0.48,0.01,34,-74.2,41.7,-6.1,3.2,2,0.97,1272,11.206,0.879,18.527
16,0.47,0,33,-74.3,40.4,-5.6,3.1,1.93,0.94,1268,10.523,0.886,16.606
17,0.5,0.07,36,-74,41.1,-5.9,3.3,1.88,0.96,1281,10.232,1,18.03
18,0.45,0.01,31,-74.2,45.3,-6.9,3.2,1.89,0.92,1296,10.651,0.883,17.781
19,0.46,0.02,26,-74,47.1,-7.7,3,1.87,0.94,1300,10.508,1.02,17.537
20,0.46,0.05,29,-74.9,46.1,-6.5,3,1.93,0.94,1284,11.003,0.83,16.935
21,0.43,0.08,39,-75,43.8,-5.7,3.1,2.01,0.94,1270,11.117,0.908,18.218
22,0.46,0.01,35,-74,43.9,-6.8,3.1,1.93,0.94,1292,10.479,0.948,18.181
23,0.5,0.07,23,-74.7,51.3,-7.2,3.1,1.83,0.96,1296,10.875,0.873,17.286
24,0.43,0.04,34,-75.6,49,-6.4,3.3,1.98,0.92,1262,11.75,0.917,16.681
25,0.43,0.02,25,-74.8,53.4,-6.7,3.1,2,0.93,1270,11.101,0.85,16.603
26,0.47,0.01,40,-74.1,44.3,-5.2,3,1.92,0.95,1305,10.493,0.88,18.23
27,0.47,0.05,27,-75.1,52.1,-5.9,2.9,1.92,0.95,1278,11.442,1.03,17.187
28,0.44,0.01,28,-74.5,52.5,-6.8,3,1.98,0.94,1269,10.682,0.95,17.047
29,0.5,0.05,22,-74.8,54,-6.7,3,1.97,0.99,1274,11.008,0.846,17.308
30,0.45,0.05,25,-74.6,54,-7,3.2,2.04,0.96,1270,10.994,0.914,17.052
31,0.46,0.06,32,-75,50.6,-5.8,3.2,1.91,0.93,1273,11.295,0.868,18.624
32,0.5,0.04,28,-74.6,51.4,-6.3,3.1,1.87,0.96,1280,11.018,0.859,17.687
33,0.5,0.02,27,-75.3,58.3,-7,3.2,1.82,0.95,1280,11.59,0.955,17.635
34,0.49,0.01,25,-75.6,54.1,-6.4,2.9,1.83,0.95,1281,11.384,0.878,18.623
35,0.49,0.04,24,-75.6,55.2,-6.2,2.6,1.93,0.98,1270,11.513,0.991,20.156
36,0.49,0.02,21,-75.4,55,-6.4,2.8,1.91,0.97,1286,10.875,1.062,20.164
37,0.48,0.04,25,-76.4,59.8,-7,3.1,1.97,0.97,1293,11.804,0.873,19.84
38,0.48,0.03,26,-76.4,56.1,-6.3,2.9,1.91,0.96,1283,11.388,0.956,20.23
39,0.47,0.03,30,-75.4,55.3,-6.3,2.9,1.94,0.96,1273,12.242,0.874,19.044
40,0.52,0.01,30,-75.1,51.2,-6.1,2.8,1.88,0.99,1288,11.312,0.918,17.427
41,0.51,0.08,36,-74.8,47.3,-5.3,2.8,1.86,0.98,1266,10.858,1.008,17.747
42,0.51,0.01,31,-74.8,50.1,-5.6,3.0 ,1.87,0.97,1293,11.17,0.929,18.901
43,0.47,0.01,33,-75.2,49.7,-5.2,3.0 ,1.9,0.94,1292,11.673,0.957,16.64
44,0.48,0.07,45,-75.6,48.2,-5.1,3.1,1.96,0.96,1280,11.647,0.83,17.388
